"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],",,,,,,,,
704919.702,3621801.704,182.109,118.242,2,9,1.3,10:01.5,11/29/2018
704919.499,3621801.416,172.422,110.547,2,9,1.3,10:01.7,11/29/2018
704919.193,3621800.98,163.398,103.594,2,9,1.3,10:01.9,11/29/2018
704918.98,3621800.654,154.609,96.953,2,9,1.3,10:02.1,11/29/2018
704918.708,3621800.235,146.406,90.078,2,9,1.3,10:02.3,11/29/2018
704918.496,3621799.909,138.984,85.352,2,9,1.3,10:02.4,11/29/2018
704918.225,3621799.493,132.266,79.531,2,9,1.3,10:02.7,11/29/2018
704917.998,3621799.142,126.367,76.172,2,9,1.3,10:02.8,11/29/2018
704917.735,3621798.73,120.977,72.539,2,8,1.6,10:03.0,11/29/2018
704917.506,3621798.366,116.016,69.297,2,8,1.6,10:03.2,11/29/2018
704917.265,3621797.982,110.82,65.273,2,8,1.6,10:03.4,11/29/2018
704917.046,3621797.634,105.898,60.664,2,8,1.6,10:03.6,11/29/2018
704916.789,3621797.225,101.094,56.641,2,8,1.6,10:03.8,11/29/2018
704916.575,3621796.866,96.367,52.266,2,8,1.6,10:04.0,11/29/2018
704916.354,3621796.459,92.266,51.172,2,8,1.6,10:04.2,11/29/2018
704916.159,3621796.101,89.531,49.297,2,8,1.6,10:04.3,11/29/2018
704915.93,3621795.68,87.617,49.297,2,8,1.6,10:04.5,11/29/2018
704915.726,3621795.304,85.938,47.93,2,8,1.6,10:04.7,11/29/2018
704915.484,3621794.856,84.453,47.188,2,8,1.6,10:04.9,11/29/2018
704915.302,3621794.513,83.75,46.992,2,8,1.6,10:05.1,11/29/2018
704915.075,3621794.087,83.281,45.898,2,8,1.6,10:05.3,11/29/2018
704914.885,3621793.73,82.539,46.562,2,8,1.6,10:05.5,11/29/2018
704914.646,3621793.28,82.734,46.797,2,8,1.6,10:05.7,11/29/2018
704914.465,3621792.94,83.008,46.445,2,8,1.6,10:05.9,11/29/2018
704914.23,3621792.487,83.32,46.289,2,8,1.6,10:06.1,11/29/2018
704914.034,3621792.105,83.594,47.305,2,8,1.6,10:06.3,11/29/2018
704913.801,3621791.651,83.438,46.602,2,8,1.6,10:06.5,11/29/2018
704913.597,3621791.256,82.93,46.68,2,8,1.6,10:06.6,11/29/2018
704913.38,3621790.833,82.734,46.328,2,8,1.6,10:06.8,11/29/2018
704913.171,3621790.422,82.266,45.742,2,8,1.6,10:07.0,11/29/2018
704912.945,3621789.975,81.992,45.312,2,8,1.6,10:07.2,11/29/2018
704912.745,3621789.579,82.5,45.547,2,8,1.6,10:07.4,11/29/2018
704912.516,3621789.125,82.148,46.523,2,8,1.6,10:07.6,11/29/2018
704912.278,3621788.655,82.5,46.094,2,8,1.6,10:07.8,11/29/2018
704912.084,3621788.293,81.289,45.039,2,8,1.6,10:08.0,11/29/2018
704911.821,3621787.838,79.375,42.422,2,8,1.6,10:08.2,11/29/2018
704911.6,3621787.457,77.148,40.742,2,8,1.6,10:08.4,11/29/2018
704911.329,3621786.987,75.703,40.117,2,8,1.6,10:08.6,11/29/2018
704911.126,3621786.636,73.594,38.711,2,8,1.6,10:08.7,11/29/2018
704910.875,3621786.201,71.953,37.734,2,8,1.6,10:08.9,11/29/2018
704910.647,3621785.793,70.938,37.812,2,8,1.6,10:09.1,11/29/2018
704910.412,3621785.374,70.742,37.773,2,8,1.6,10:09.3,11/29/2018
704910.207,3621785.006,71.172,39.102,2,8,1.6,10:09.5,11/29/2018
704909.965,3621784.573,70.586,39.023,2,8,1.6,10:09.7,11/29/2018
704909.756,3621784.199,69.883,38.867,2,8,1.6,10:09.9,11/29/2018
704909.523,3621783.765,71.875,39.18,2,8,1.6,10:10.1,11/29/2018
704909.329,3621783.399,71.641,39.883,2,8,1.6,10:10.2,11/29/2018
704909.099,3621782.966,71.758,38.203,2,8,1.6,10:10.4,11/29/2018
704908.901,3621782.594,71.25,38.633,2,8,1.6,10:10.6,11/29/2018
704908.669,3621782.156,72.227,38.438,2,8,1.6,10:10.8,11/29/2018
704908.476,3621781.795,71.602,38.164,2,8,1.6,10:11.0,11/29/2018
704908.201,3621781.286,70.938,38.477,2,8,1.6,10:11.2,11/29/2018
704907.885,3621780.702,71.094,38.828,2,8,1.6,10:11.4,11/29/2018
704907.707,3621780.373,71.055,38.477,2,8,1.6,10:11.6,11/29/2018
704907.483,3621779.959,70.898,39.336,2,8,1.6,10:11.8,11/29/2018
704907.209,3621779.46,71.875,38.633,2,8,1.6,10:12.0,11/29/2018
704906.98,3621779.057,71.484,39.688,2,8,1.6,10:12.1,11/29/2018
704906.699,3621778.564,71.25,39.375,2,8,1.6,10:12.3,11/29/2018
704906.468,3621778.16,71.602,39.375,2,8,1.6,10:12.5,11/29/2018
704906.198,3621777.685,72.266,39.258,2,8,1.6,10:12.7,11/29/2018
704905.953,3621777.255,73.203,39.57,2,8,1.6,10:12.9,11/29/2018
704905.725,3621776.867,73.164,39.805,2,8,1.6,10:13.1,11/29/2018
704905.442,3621776.382,73.477,40.664,2,8,1.6,10:13.3,11/29/2018
704905.21,3621775.987,74.609,40.586,2,8,1.6,10:13.5,11/29/2018
704904.928,3621775.505,75.859,42.734,2,8,1.6,10:13.7,11/29/2018
704904.695,3621775.107,77.383,42.461,2,8,1.6,10:13.8,11/29/2018
704904.438,3621774.631,79.023,44.258,2,8,1.6,10:14.1,11/29/2018
704904.218,3621774.204,80.469,45.586,2,8,1.6,10:14.2,11/29/2018
704903.986,3621773.753,81.992,46.562,2,8,1.6,10:14.4,11/29/2018
704903.776,3621773.347,82.422,46.562,2,8,1.6,10:14.6,11/29/2018
704903.534,3621772.875,82.383,45.195,2,8,1.6,10:14.8,11/29/2018
704903.325,3621772.466,82.461,44.727,2,8,1.6,10:15.0,11/29/2018
704903.075,3621771.967,82.891,45,2,8,1.6,10:15.2,11/29/2018
704902.853,3621771.525,83.203,45.195,2,8,1.6,10:15.4,11/29/2018
704902.646,3621771.111,83.75,46.25,2,8,1.6,10:15.5,11/29/2018
704902.414,3621770.65,84.492,47.344,2,8,1.6,10:15.7,11/29/2018
704902.187,3621770.202,84.688,47.773,2,8,1.6,10:15.9,11/29/2018
704901.921,3621769.707,85.43,48.555,2,8,1.6,10:16.1,11/29/2018
704901.701,3621769.296,87.031,47.891,2,8,1.6,10:16.3,11/29/2018
704901.443,3621768.815,88.047,49.219,2,8,1.6,10:16.5,11/29/2018
704901.223,3621768.405,88.672,49.453,2,8,1.6,10:16.7,11/29/2018
704900.96,3621767.917,88.164,48.906,2,8,1.6,10:16.9,11/29/2018
704900.732,3621767.489,87.188,47.422,2,8,1.6,10:17.1,11/29/2018
704900.488,3621767.03,86.602,47.461,2,8,1.6,10:17.3,11/29/2018
704900.223,3621766.533,86.25,46.484,2,8,1.6,10:17.5,11/29/2018
704900,3621766.114,85.469,45.781,2,8,1.6,10:17.6,11/29/2018
704899.738,3621765.621,85.664,46.445,2,8,1.6,10:17.9,11/29/2018
704899.506,3621765.173,86.055,47.031,2,8,1.6,10:18.0,11/29/2018
704899.302,3621764.775,87.617,47.734,2,8,1.6,10:18.2,11/29/2018
704899.033,3621764.25,87.812,48.242,2,8,1.6,10:18.4,11/29/2018
704898.833,3621763.86,88.438,49.531,2,8,1.6,10:18.6,11/29/2018
704898.566,3621763.337,89.062,50.156,2,8,1.6,10:18.8,11/29/2018
704898.355,3621762.93,89.492,49.688,2,8,1.6,10:19.0,11/29/2018
704898.096,3621762.441,89.805,51.172,2,8,1.6,10:19.2,11/29/2018
704897.869,3621762.011,90.938,53.281,2,8,1.6,10:19.4,11/29/2018
704897.613,3621761.528,91.484,54.492,2,8,1.6,10:19.6,11/29/2018
704897.386,3621761.098,92.812,54.023,2,8,1.6,10:19.7,11/29/2018
704897.122,3621760.599,93.281,52.148,2,8,1.6,10:19.9,11/29/2018
704896.897,3621760.165,93.281,51.68,2,8,1.6,10:20.1,11/29/2018
704896.643,3621759.679,91.797,51.016,2,8,1.6,10:20.3,11/29/2018
