"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705105.12,3621707.608,89.805,63.086,2,8,1.5,32:13.1,11/29/2018
705104.893,3621707.171,91.445,64.609,2,8,1.5,32:13.3,11/29/2018
705104.611,3621706.636,93.555,65.508,2,8,1.5,32:13.5,11/29/2018
705104.269,3621706.017,94.883,67.266,2,8,1.5,32:13.7,11/29/2018
705104.074,3621705.666,96.25,69.18,2,8,1.5,32:13.9,11/29/2018
705103.747,3621705.076,96.406,68.828,2,8,1.5,32:14.1,11/29/2018
705103.49,3621704.611,95.977,67.539,2,8,1.5,32:14.3,11/29/2018
705103.249,3621704.177,96.25,68.438,2,8,1.5,32:14.4,11/29/2018
705102.878,3621703.516,97.422,69.688,2,8,1.5,32:14.7,11/29/2018
705102.685,3621703.172,99.375,71.562,2,8,1.5,32:14.8,11/29/2018
705102.372,3621702.615,100.703,72.422,2,8,1.5,32:15.0,11/29/2018
705102.167,3621702.251,102.617,74.375,2,8,1.5,32:15.2,11/29/2018
705101.881,3621701.743,105.781,77.07,2,8,1.5,32:15.4,11/29/2018
705101.573,3621701.203,108.008,78.789,2,8,1.5,32:15.6,11/29/2018
705101.359,3621700.83,109.023,78.594,2,8,1.5,32:15.8,11/29/2018
705101.058,3621700.305,110.508,77.852,2,8,1.5,32:16.0,11/29/2018
705100.857,3621699.956,110.43,78.164,2,8,1.5,32:16.1,11/29/2018
705100.54,3621699.403,110.352,78.242,2,8,1.5,32:16.4,11/29/2018
705100.207,3621698.827,110.664,78.398,2,8,1.5,32:16.6,11/29/2018
705100.043,3621698.544,110.117,78.281,2,8,1.5,32:16.7,11/29/2018
705099.842,3621698.198,110.703,78.203,2,8,1.5,32:16.9,11/29/2018
705099.535,3621697.667,111.133,77.93,2,8,1.5,32:17.1,11/29/2018
705099.329,3621697.311,111.172,77.578,2,8,1.5,32:17.3,11/29/2018
705099.074,3621696.875,111.445,78.125,2,8,1.5,32:17.5,11/29/2018
705098.826,3621696.474,110.742,78.203,2,8,1.5,32:17.7,11/29/2018
705098.532,3621695.998,110.625,77.344,2,8,1.5,32:17.9,11/29/2018
705098.289,3621695.606,109.609,77.031,2,8,1.5,32:18.1,11/29/2018
705098.041,3621695.205,108.828,76.758,2,8,1.5,32:18.2,11/29/2018
705097.733,3621694.707,108.75,76.328,2,8,1.5,32:18.5,11/29/2018
705097.535,3621694.393,108.906,76.68,2,8,1.5,32:18.6,11/29/2018
705097.206,3621693.871,108.828,76.68,2,8,1.5,32:18.9,11/29/2018
705097.039,3621693.606,109.57,77.148,2,8,1.5,32:19.0,11/29/2018
705096.715,3621693.092,110.625,78.164,2,8,1.5,32:19.2,11/29/2018
705096.436,3621692.651,110.898,77.812,2,8,1.5,32:19.4,11/29/2018
705096.195,3621692.274,110.391,77.695,2,8,1.5,32:19.6,11/29/2018
705095.981,3621691.94,109.375,76.523,2,8,1.5,32:19.8,11/29/2018
705095.758,3621691.592,108.438,76.211,2,8,1.5,32:19.9,11/29/2018
705095.476,3621691.152,107.461,76.523,2,8,1.5,32:20.2,11/29/2018
705095.258,3621690.812,107.578,76.367,2,8,1.5,32:20.3,11/29/2018
705094.734,3621689.975,107.773,77.109,2,8,1.5,32:20.7,11/29/2018
705094.462,3621689.535,108.398,77.227,2,8,1.5,32:20.9,11/29/2018
705094.169,3621689.061,109.375,78.008,2,8,1.5,32:21.1,11/29/2018
705093.996,3621688.78,110.117,78.828,2,8,1.5,32:21.3,11/29/2018
705093.719,3621688.335,110.039,77.5,2,8,1.5,32:21.5,11/29/2018
705093.396,3621687.856,110.039,76.367,2,8,1.5,32:21.7,11/29/2018
705093.116,3621687.441,110.039,76.25,2,8,1.5,32:21.8,11/29/2018
705092.776,3621686.936,108.828,76.367,2,8,1.5,32:22.0,11/29/2018
705092.432,3621686.427,107.07,76.289,2,8,1.5,32:22.2,11/29/2018
705092.104,3621685.939,105.781,74.922,2,8,1.5,32:22.4,11/29/2018
705091.866,3621685.545,104.844,73.906,2,8,1.5,32:22.6,11/29/2018
705091.536,3621684.98,103.984,72.305,2,8,1.5,32:22.8,11/29/2018
705091.332,3621684.63,102.656,71.992,2,8,1.5,32:23.0,11/29/2018
705091.03,3621684.113,100.977,70.43,2,8,1.5,32:23.2,11/29/2018
705090.807,3621683.732,99.688,69.062,2,8,1.5,32:23.3,11/29/2018
705090.475,3621683.166,97.734,67.773,2,8,1.5,32:23.6,11/29/2018
705090.224,3621682.739,96.367,67.148,2,8,1.5,32:23.7,11/29/2018
705089.894,3621682.178,96.25,68.32,2,8,1.5,32:23.9,11/29/2018
705089.544,3621681.582,95.703,67.383,2,8,1.5,32:24.2,11/29/2018
705089.28,3621681.134,94.961,66.875,2,8,1.5,32:24.3,11/29/2018
705089.032,3621680.708,94.258,66.172,2,8,1.5,32:24.5,11/29/2018
705088.699,3621680.118,94.258,65.625,2,8,1.5,32:24.7,11/29/2018
705088.415,3621679.614,93.438,64.453,2,8,1.5,32:24.9,11/29/2018
705088.059,3621678.983,93.086,64.922,2,8,1.5,32:25.1,11/29/2018
705087.798,3621678.52,94.18,66.484,2,8,1.5,32:25.2,11/29/2018
705087.449,3621677.9,96.328,68.477,2,8,1.5,32:25.5,11/29/2018
705087.051,3621677.193,98.32,69.062,2,8,1.5,32:25.7,11/29/2018
705086.799,3621676.746,100.156,70.039,2,8,1.5,32:25.8,11/29/2018
705086.392,3621676.023,100.195,69.297,2,8,1.5,32:26.1,11/29/2018
705086.13,3621675.558,100.43,70.391,2,8,1.5,32:26.2,11/29/2018
705085.823,3621675.012,100.078,70.742,2,8,1.5,32:26.4,11/29/2018
705085.46,3621674.377,100.156,70.508,2,8,1.5,32:26.6,11/29/2018
705085.169,3621673.87,100.703,71.133,2,8,1.5,32:26.8,11/29/2018
705084.802,3621673.232,101.211,70.078,2,8,1.5,32:27.0,11/29/2018
705084.511,3621672.725,102.734,71.211,2,8,1.5,32:27.1,11/29/2018
705084.162,3621672.117,103.906,72.812,2,8,1.5,32:27.4,11/29/2018
705083.872,3621671.61,104.922,74.141,2,8,1.5,32:27.5,11/29/2018
705083.533,3621671.013,104.18,72.461,2,8,1.5,32:27.7,11/29/2018
705083.256,3621670.522,103.477,73.281,2,8,1.5,32:27.9,11/29/2018
705082.884,3621669.866,104.375,73.789,2,8,1.5,32:28.1,11/29/2018
705082.665,3621669.48,104.727,73.75,2,8,1.5,32:28.3,11/29/2018
705082.286,3621668.806,105.469,74.219,2,8,1.5,32:28.5,11/29/2018
705082.068,3621668.408,105.43,75,2,8,1.5,32:28.7,11/29/2018
705081.716,3621667.769,105.82,76.328,2,8,1.5,32:28.9,11/29/2018
705081.479,3621667.339,106.758,76.211,2,8,1.5,32:29.1,11/29/2018
705081.215,3621666.859,106.641,75.938,2,8,1.5,32:29.2,11/29/2018
705080.9,3621666.286,106.406,74.648,2,8,1.5,32:29.4,11/29/2018
705080.648,3621665.831,107.188,75.117,2,8,1.5,32:29.6,11/29/2018
705080.345,3621665.285,106.953,75.977,2,8,1.5,32:29.8,11/29/2018
705080.019,3621664.697,107.695,76.602,2,8,1.5,32:30.0,11/29/2018
705079.781,3621664.267,108.242,78.086,2,8,1.5,32:30.2,11/29/2018
705079.539,3621663.83,110.078,78.555,2,8,1.5,32:30.4,11/29/2018
705079.171,3621663.177,109.844,78.555,2,8,1.5,32:30.6,11/29/2018
705078.923,3621662.741,110.859,79.297,2,8,1.5,32:30.8,11/29/2018
705078.699,3621662.348,110.742,77.734,2,8,1.5,32:31.0,11/29/2018
705078.371,3621661.77,110.586,76.68,2,8,1.5,32:31.2,11/29/2018
705078.161,3621661.403,109.883,76.875,2,8,1.5,32:31.3,11/29/2018
705077.852,3621660.85,111.094,77.812,2,8,1.5,32:31.6,11/29/2018
705077.648,3621660.478,111.953,78.828,2,8,1.5,32:31.7,11/29/2018
705077.415,3621660.051,112.695,78.984,2,8,1.5,32:31.9,11/29/2018
705077.128,3621659.527,114.102,79.297,2,8,1.5,32:32.1,11/29/2018
705076.828,3621658.981,113.477,79.18,2,8,1.5,32:32.3,11/29/2018
705076.601,3621658.57,112.617,79.766,2,8,1.5,32:32.5,11/29/2018
705076.288,3621658.036,111.289,78.086,2,8,1.5,32:32.7,11/29/2018
705076.093,3621657.703,111.445,77.969,2,8,1.5,32:32.8,11/29/2018
705075.836,3621657.265,110.898,77.188,2,8,1.5,32:33.0,11/29/2018
705075.519,3621656.724,110.195,77.422,2,8,1.5,32:33.3,11/29/2018
705075.289,3621656.33,110.82,79.922,2,8,1.5,32:33.4,11/29/2018
705074.99,3621655.84,111.25,79.297,2,8,1.5,32:33.6,11/29/2018
705074.734,3621655.423,111.25,79.57,2,8,1.5,32:33.8,11/29/2018
705074.43,3621654.929,111.562,79.688,2,8,1.5,32:34.0,11/29/2018
705074.17,3621654.504,112.148,79.297,2,8,1.5,32:34.2,11/29/2018
705073.881,3621654.034,112.656,79.219,2,8,1.5,32:34.4,11/29/2018
705073.516,3621653.446,112.227,79.023,2,8,1.5,32:34.6,11/29/2018
705073.268,3621653.047,112.148,78.906,2,8,1.5,32:34.8,11/29/2018
705073.069,3621652.727,111.641,79.883,2,8,1.5,32:34.9,11/29/2018
705072.717,3621652.16,111.328,79.375,2,8,1.5,32:35.2,11/29/2018
705072.479,3621651.777,112.227,78.945,2,8,1.5,32:35.3,11/29/2018
705072.241,3621651.393,112.461,79.57,2,8,1.5,32:35.5,11/29/2018
705071.941,3621650.903,113.711,80.039,2,8,1.5,32:35.7,11/29/2018
705071.629,3621650.396,113.633,80.312,2,8,1.5,32:35.9,11/29/2018
705071.388,3621650.002,114.219,80.781,2,8,1.5,32:36.1,11/29/2018
705071.099,3621649.531,114.883,81.094,2,8,1.5,32:36.3,11/29/2018
705070.818,3621649.072,117.305,82.5,2,8,1.5,32:36.5,11/29/2018
705070.537,3621648.593,117.656,83.008,2,8,1.5,32:36.7,11/29/2018
705070.314,3621648.213,119.062,83.984,2,8,1.5,32:36.8,11/29/2018
705070.038,3621647.741,119.609,84.688,2,8,1.5,32:37.0,11/29/2018
705069.786,3621647.311,119.57,85.43,2,8,1.5,32:37.2,11/29/2018
705069.513,3621646.846,118.125,84.375,2,8,1.5,32:37.4,11/29/2018
705069.173,3621646.244,118.008,85.195,2,8,1.5,32:37.6,11/29/2018
705068.964,3621645.87,118.359,84.727,2,8,1.5,32:37.8,11/29/2018
705068.681,3621645.365,119.375,85.156,2,8,1.5,32:38.0,11/29/2018
705068.472,3621644.99,120.469,85.391,2,8,1.5,32:38.2,11/29/2018
705068.204,3621644.512,120.625,85.234,2,8,1.5,32:38.4,11/29/2018
705067.952,3621644.066,119.492,83.75,2,8,1.5,32:38.6,11/29/2018
705067.686,3621643.603,119.844,84.062,2,8,1.5,32:38.7,11/29/2018
705067.436,3621643.166,120,85.156,2,8,1.5,32:38.9,11/29/2018
