"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705063.72,3621756.386,122.539,75.43,2,6,1.7,54:40.4,11/29/2018
705063.705,3621756.391,122.773,76.523,2,6,1.7,54:40.6,11/29/2018
705063.687,3621756.397,123.047,76.484,2,6,1.7,54:40.8,11/29/2018
705063.676,3621756.4,122.773,76.094,2,6,1.7,54:41.0,11/29/2018
705063.66,3621756.406,122.5,76.094,2,6,1.7,54:41.2,11/29/2018
705063.637,3621756.38,122.578,75.898,2,6,1.7,54:41.4,11/29/2018
705063.621,3621756.343,123.086,76.289,2,6,1.7,54:41.5,11/29/2018
705063.595,3621756.282,122.461,75.742,2,6,1.7,54:41.8,11/29/2018
705063.575,3621756.237,122.617,75.781,2,6,1.7,54:41.9,11/29/2018
705063.549,3621756.175,123.438,76.094,2,6,1.7,54:42.1,11/29/2018
705063.529,3621756.129,123.711,75.664,2,6,1.7,54:42.3,11/29/2018
705063.468,3621755.936,123.906,75.781,2,6,1.7,54:42.5,11/29/2018
705063.433,3621755.824,123.633,75.898,2,6,1.7,54:42.7,11/29/2018
705063.388,3621755.681,122.93,75.312,2,6,1.7,54:42.9,11/29/2018
705063.337,3621755.521,123.438,75.156,2,6,1.7,54:43.0,11/29/2018
705063.29,3621755.372,123.281,75.586,2,6,1.7,54:43.2,11/29/2018
705063.224,3621755.175,122.773,75.195,2,6,1.7,54:43.4,11/29/2018
705063.14,3621754.93,123.008,76.367,2,6,1.7,54:43.7,11/29/2018
705063.087,3621754.776,123.359,76.602,2,6,1.7,54:43.8,11/29/2018
705063.022,3621754.587,123.633,76.133,2,6,1.7,54:44.0,11/29/2018
705062.947,3621754.37,124.18,77.07,2,6,1.7,54:44.2,11/29/2018
705062.857,3621754.132,125.586,78.086,2,6,1.7,54:44.4,11/29/2018
705062.792,3621753.97,125.859,79.805,2,6,1.7,54:44.6,11/29/2018
705062.711,3621753.767,127.188,80.664,2,6,1.7,54:44.8,11/29/2018
705062.616,3621753.533,130.273,83.125,2,6,1.7,54:45.0,11/29/2018
705062.34,3621752.855,132.656,85.039,2,6,1.7,54:45.5,11/29/2018
705062.326,3621752.825,133.906,85.82,2,6,1.7,54:45.5,11/29/2018
705062.304,3621752.773,133.633,85.977,2,6,1.7,54:45.6,11/29/2018
705062.182,3621752.492,134.492,86.211,2,6,1.7,54:45.7,11/29/2018
705061.972,3621752.008,134.57,86.719,2,6,1.7,54:46.0,11/29/2018
705061.875,3621751.784,134.453,86.641,2,6,1.7,54:46.1,11/29/2018
705061.697,3621751.372,135.234,87.5,2,6,1.7,54:46.3,11/29/2018
705061.526,3621751.017,136.289,89.844,2,6,1.7,54:46.5,11/29/2018
705061.381,3621750.714,137.383,91.641,2,6,1.7,54:46.7,11/29/2018
705061.205,3621750.347,139.492,93.477,2,6,1.7,54:46.9,11/29/2018
705061.041,3621750.005,141.719,95.156,2,6,1.7,54:47.0,11/29/2018
705060.858,3621749.623,144.492,98.398,2,6,1.7,54:47.3,11/29/2018
705060.701,3621749.338,147.578,100.586,2,6,1.7,54:47.4,11/29/2018
705060.476,3621748.945,149.492,101.836,2,6,1.7,54:47.6,11/29/2018
