"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH","-1.0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
704676.915,3620783.725,86.133,56.914,2,9,0.9,37:08.6,11/29/2018
704676.965,3620783.697,86.25,57.656,2,9,0.9,37:08.8,11/29/2018
704677.013,3620783.668,85.898,56.484,2,9,0.9,37:09.0,11/29/2018
704677.215,3620783.763,85.625,55.938,2,9,0.9,37:09.2,11/29/2018
704677.408,3620783.86,84.961,55.234,2,9,0.9,37:09.4,11/29/2018
704677.597,3620783.956,84.648,53.555,2,9,0.9,37:09.6,11/29/2018
704677.823,3620784.07,83.047,53.086,2,9,0.9,37:09.8,11/29/2018
704678.007,3620784.163,81.836,52.109,2,9,0.9,37:09.9,11/29/2018
704678.222,3620784.326,80.938,51.562,2,9,0.9,37:10.2,11/29/2018
704678.369,3620784.461,80.156,51.445,2,9,0.9,37:10.3,11/29/2018
704678.565,3620784.642,80.703,51.836,2,9,0.9,37:10.5,11/29/2018
704678.723,3620784.787,79.688,51.953,2,9,0.9,37:10.7,11/29/2018
704678.911,3620784.959,78.359,50.781,2,9,0.9,37:10.9,11/29/2018
704679.06,3620785.103,78.438,50.938,2,9,0.9,37:11.1,11/29/2018
704679.247,3620785.298,78.398,51.094,2,9,0.9,37:11.3,11/29/2018
704679.402,3620785.459,78.047,50.391,2,9,0.9,37:11.5,11/29/2018
704679.58,3620785.645,78.203,49.766,2,9,0.9,37:11.7,11/29/2018
704679.734,3620785.806,79.023,50.547,2,9,0.9,37:11.8,11/29/2018
704679.918,3620785.996,79.18,51.445,2,9,0.9,37:12.0,11/29/2018
704680.085,3620786.157,79.961,51.445,2,9,0.9,37:12.2,11/29/2018
704680.299,3620786.363,79.883,51.836,2,9,0.9,37:12.4,11/29/2018
704680.481,3620786.538,79.883,52.266,2,9,0.9,37:12.6,11/29/2018
704680.662,3620786.712,79.688,52.852,2,9,0.9,37:12.8,11/29/2018
704680.829,3620786.873,79.766,54.219,2,9,0.9,37:13.0,11/29/2018
704681.083,3620787.142,79.453,54.492,2,9,0.9,37:13.2,11/29/2018
704681.266,3620787.339,79.102,53.594,2,9,0.9,37:13.4,11/29/2018
704681.47,3620787.559,77.969,51.602,2,9,0.9,37:13.6,11/29/2018
704681.635,3620787.737,75.938,50.078,2,9,0.9,37:13.8,11/29/2018
704681.829,3620787.945,74.102,48.398,2,9,0.9,37:13.9,11/29/2018
704682.047,3620788.196,72.422,46.211,2,9,0.9,37:14.1,11/29/2018
704682.246,3620788.435,70.586,45.078,2,9,0.9,37:14.3,11/29/2018
704682.473,3620788.709,68.516,44.766,2,9,0.9,37:14.5,11/29/2018
704682.672,3620788.948,67.578,44.414,2,9,0.9,37:14.7,11/29/2018
704682.88,3620789.198,66.914,44.883,2,9,0.9,37:14.9,11/29/2018
704683.104,3620789.476,67.578,45.547,2,9,0.9,37:15.1,11/29/2018
704683.309,3620789.746,67.305,44.883,2,9,0.9,37:15.3,11/29/2018
704683.538,3620790.047,67.773,45.352,2,9,0.9,37:15.5,11/29/2018
704683.719,3620790.285,68.75,45.43,2,9,0.9,37:15.6,11/29/2018
704683.946,3620790.583,69.336,45.781,2,9,0.9,37:15.8,11/29/2018
704684.156,3620790.863,70.508,47.188,2,9,0.9,37:16.0,11/29/2018
704684.38,3620791.192,70.547,47.617,2,9,0.9,37:16.2,11/29/2018
704684.552,3620791.445,71.562,46.367,2,9,0.9,37:16.4,11/29/2018
704684.766,3620791.759,72.227,47.93,2,9,0.9,37:16.6,11/29/2018
704684.952,3620792.033,72.148,47.695,2,9,0.9,37:16.8,11/29/2018
704685.159,3620792.337,71.289,47.734,2,9,0.9,37:17.0,11/29/2018
704685.357,3620792.638,71.094,46.641,2,9,0.9,37:17.2,11/29/2018
704685.576,3620792.975,70.977,46.602,2,9,0.9,37:17.4,11/29/2018
704685.772,3620793.276,71.211,46.68,2,9,0.9,37:17.5,11/29/2018
704685.996,3620793.621,71.875,47.07,2,9,0.9,37:17.7,11/29/2018
704686.174,3620793.895,73.125,48.203,2,9,0.9,37:17.9,11/29/2018
704686.397,3620794.245,73.984,50.547,2,8,1,37:18.1,11/29/2018
704686.582,3620794.541,74.727,51.055,2,8,1,37:18.3,11/29/2018
704686.801,3620794.892,75.938,52.109,2,8,1,37:18.5,11/29/2018
704686.984,3620795.184,76.367,52.383,2,8,1,37:18.7,11/29/2018
704687.186,3620795.508,77.227,51.68,2,8,1,37:18.9,11/29/2018
704687.389,3620795.812,77.539,51.602,2,8,1,37:19.1,11/29/2018
704687.683,3620796.169,78.164,50.938,2,8,1,37:19.3,11/29/2018
704687.918,3620796.453,78.047,51.836,2,8,1,37:19.5,11/29/2018
704688.148,3620796.732,78.711,53.086,2,8,1,37:19.6,11/29/2018
704688.404,3620797.042,79.219,53.164,2,8,1,37:19.8,11/29/2018
704688.68,3620797.39,80.312,53.945,2,8,1,37:20.0,11/29/2018
704688.83,3620797.68,82.07,55.586,2,8,1,37:20.2,11/29/2018
704689.011,3620798.028,83.594,56.055,2,8,1,37:20.4,11/29/2018
704689.213,3620798.416,85.195,57.422,2,8,1,37:20.6,11/29/2018
704689.37,3620798.718,87.656,59.609,2,8,1,37:20.8,11/29/2018
704689.562,3620799.088,88.75,60.547,2,8,1,37:21.0,11/29/2018
704689.74,3620799.419,88.75,60.625,2,8,1,37:21.1,11/29/2018
704689.952,3620799.806,88.633,58.008,2,8,1,37:21.4,11/29/2018
704690.132,3620800.137,87.617,57.266,2,8,1,37:21.5,11/29/2018
704690.335,3620800.508,86.25,55.352,2,8,1,37:21.7,11/29/2018
704690.527,3620800.86,84.766,54.375,2,8,1,37:21.9,11/29/2018
704690.75,3620801.262,83.164,53.281,2,9,0.9,37:22.1,11/29/2018
704690.926,3620801.575,82.461,52.656,2,9,0.9,37:22.3,11/29/2018
704691.154,3620801.978,81.719,52.383,2,9,0.9,37:22.5,11/29/2018
704691.361,3620802.344,81.289,51.875,2,9,0.9,37:22.7,11/29/2018
704691.583,3620802.738,81.289,52.5,2,9,0.9,37:22.9,11/29/2018
704691.777,3620803.08,80.625,52.109,2,9,0.9,37:23.0,11/29/2018
704692.003,3620803.481,81.523,53.281,2,9,0.9,37:23.2,11/29/2018
704692.204,3620803.838,81.641,53.398,2,9,0.9,37:23.4,11/29/2018
704692.434,3620804.245,83.047,53.945,2,9,0.9,37:23.6,11/29/2018
704692.664,3620804.651,83.555,54.531,2,9,0.9,37:23.8,11/29/2018
704692.869,3620805.014,84.297,55.625,2,9,0.9,37:24.0,11/29/2018
704693.072,3620805.384,85.117,55.508,2,9,0.9,37:24.2,11/29/2018
704693.279,3620805.762,86.445,56.992,2,9,0.9,37:24.4,11/29/2018
704693.499,3620806.163,87.969,58.125,2,9,0.9,37:24.6,11/29/2018
704693.72,3620806.567,89.062,58.75,2,9,0.9,37:24.8,11/29/2018
704693.966,3620807.015,90.625,58.789,2,9,0.9,37:25.0,11/29/2018
704694.172,3620807.4,91.719,60,2,9,0.9,37:25.2,11/29/2018
704694.364,3620807.761,92.031,60.781,2,9,0.9,37:25.3,11/29/2018
704694.598,3620808.201,93.789,62.383,2,9,0.9,37:25.5,11/29/2018
704694.781,3620808.545,93.711,62.383,2,9,0.9,37:25.7,11/29/2018
704695.017,3620808.988,93.711,62.344,2,9,0.9,37:25.9,11/29/2018
704695.215,3620809.352,94.219,62.305,2,9,0.9,37:26.1,11/29/2018
704695.46,3620809.786,94.727,62.695,2,9,0.9,37:26.3,11/29/2018
704695.663,3620810.147,95.195,62.539,2,9,0.9,37:26.5,11/29/2018
704695.877,3620810.526,96.523,62.422,2,9,0.9,37:26.7,11/29/2018
704696.097,3620810.917,97.227,64.609,2,9,0.9,37:26.8,11/29/2018
